"No.","Date","Genre","Bibl","Hit"
"1","1927-12-31","Gebrauchsliteratur","Schalcher, Traugott: Die Reklame der Straße, Wien: C. Barth 1927, S. 65","In der zweiten Hälfte des vorigen Jahrhunderts setzte in Frankreich, später in England und Deutschland und fast allen zivilisierten Ländern eine Bewegung ein, die sich das Ziel setzte, die Reklame-Plakate künstlerisch zu gestalten."
"2","1920-12-03","Zeitung","Tucholsky, Kurt: Die Papiere. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1920], S. 10576","Die hohe Obrigkeit hat mit ihrem Papierfimmel ein ganzes Land angesteckt."
"3","1922-12-31","Gebrauchsliteratur","Sudermann, Hermann: Das Bilderbuch meiner Jugend. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1922], S. 66158","Auch die Töchter, meine verflossenen Flammen, waren aufs Land geflüchtet, nur Frau Direktor hielt tapfer der Seuche stand, die oben und unten tagtäglich neue Opfer forderte."
"4","1921-03-07","Zeitung","Vossische Zeitung (Abend-Ausgabe), 07.03.1921","Hier wird daher, sobald das oberschlesische Land wieder den deutschen Behörden übergeben sein wird, mit doppelter Energie vorgegangen werden müssen, um diesem Lande, das von allen am meisten durch die Riesenzahl seiner Bevölkerung, durch die außerordentliche Ausdehnung des Großgrundbesitzes zur Siedlung bestimmt ist und der Siedlung bedarf, die Wohltaten des Siedlungsgesetzes zuzuführen."
"5","1926-12-31","Gebrauchsliteratur","Abel, Othenio: Amerikafahrt, Jena: Fischer 1926, S. 323","Auch sonst war mein ""Fossil Hunting"" in den Bad Lands trotz der knappen Zeit, die mir zur Verfügung stand, recht erfolgreich."
"6","1932-06-18","Zeitung","Archiv der Gegenwart, Bd. 2, 18.06.1932","Diese Beträge werden zur Befriedigung der in dem betreffenden Land ansässigen Gläubiger aus Außenhandelsgeschäften verwendet."
"7","1920-06-03","Zeitung","Tucholsky, Kurt: In der Strafkolonie. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1920]","Und in diesem Lande wurde ausschließlich und schrankenlos und ohne die leiseste Seelenemotion coitiert."
"8","1932-08-12","Zeitung","Archiv der Gegenwart, Bd. 2, 12.08.1932, S. 444 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Hoover setzte sich in seiner Rede entschieden für die Aufrechterhaltung des bestehenden Schutzzolltarifs ein, der die amerikanische Landwirtschaft und Industrie vor der Konkurrenz von Ländern mit schlecht bezahlten Arbeitskräften schütze."
"9","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 1295","Dennoch wollten sie bei diesem Wechsel hinaus aus der Stadt und hinein in das deutsche Land, um der deutschen Arbeit willen, die bei Kriegsende jeder Schriftsteller aufnehmen müsse nach dem deutschen geistigen Versagen vor dem Kriege, und nicht zuletzt, damit beide Kinder auf Eigenem mit klarem Verstande der ganzen Umwelt aufwüchsen."
"10","1925-03-08","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 08.03.1925","Und wer da murmelt, was man denn von solchem Lebenswandel hätte, dem sei jene Jazzband entschuldigend vor die ausgeruhte Krawatte gesetzt, jene mit Mr. Julian Fuhß am Flügel, die ich vor den Festen, in den Festen, nach den Festen, zu Lande und zu Wasser, überall antraf."
"11","1918-12-31","Gebrauchsliteratur","Peters, Carl: Lebenserinnerungen. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1918], S. 52732","Die Erforschung der Sambesi-Gebiete und von Macombe's Land war das erste Ergebnis dieser Expeditionen, jedoch waren diese Ergebnisse für tiefer gehende bergmännische Untersuchungen nicht verlockend."
"12","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Vierter Teil: Neuzeit, Berlin: Directmedia Publ. 2002 [1920], S. 3666","Das Land wurde in Distrikte geteilt; Regierungs- Kommissare bereisten diese Distrikte, bezeichneten die ihnen geeignet erscheinenden Männer und legten Listen von ihnen an."
"13","1919-03-20","Zeitung","Tucholsky, Kurt: Der Untertan. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1919], S. 1245","sie sind Sklaven der rätselvollen Kollektivität, die diesem Lande und dieser Zeit so unendlich Schmachvolles aufgebürdet hat."
"14","1930-03-25","Belletristik","Tucholsky, Kurt: Der breite Rücken. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1930], S. 7378","Es dröhnt ein Land."
"15","1931-12-31","Wissenschaft","Bölsche, Wilhelm: Das Leben der Urwelt, Leipzig: Dollheimer 1931 [1931], S. 90","Und es liegt nahe genug, daß es der Ichthyosaurus, der überhaupt nicht mehr aufs Land konnte, seinerzeit ähnlich gemacht habe - wozu uns die Funde die eindrucksvollste Gewähr gäben."
"16","1925-12-31","Gebrauchsliteratur","Petersen, Jes: Erde und Mensch, Berlin: Columbus-Verl. [1935] [1925], S. 142","Die Markgrafen hatten neben Ausübung der Gerichtsbarkeit auch für die Aufbringung der Abgaben zu sorgen, die für die Aufrechterhaltung der kaiserlichen Regierung und für den Schutz des gesamten Landes notwendig waren."
"17","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 784","Nur, daß sie bei der Pomonainsel ankerten und daß sie bei der Pomonainsel das Boot ans Land setzen wollten ..."""
"18","1924-03-11","Zeitung","Vossische Zeitung (Abend-Ausgabe), 11.03.1924","Zudem war es mir bekannt, daß weder Hitler noch Ludendorff in Bayern in weiten Kreisen, insbesondere auf dem Lande, als bayerische Führer angesehen wurden."
"19","1928-12-31","Wissenschaft","Jahresberichte für deutsche Geschichte, 1928, S. 417","-- War dort der Bergbau ganz in privaten Händen, wobei der Regalherr sein Recht und sein fiskalisches Interesse nur durch die den Mutungsinhabern zu erteilende Belehnung wahrte, so haben wir es im Markgräfler Lande im südlichen Baden nur mit Staatsbetrieb zu tun, worüber eine eingehende, aus den Bergwerksakten zu Karlsruhe schöpfende Darstellung von Baier (1816) unterrichtet."
"20","1929-06-18","Zeitung","Tucholsky, Kurt: Auf dem Nachttisch. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1929]","Denn wer nu mal mit Spree jetooft, Durch alle Länder Weje looft, Der fährt immer mal wieder Mit der Hand übern Alexanderplatz -"
"21","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Vierter Teil: Neuzeit, Berlin: Directmedia Publ. 2002 [1920], S. 4023","»Wer eine Schlacht gewinnt, gewinnt nicht allein den Feldzug, sondern auch ein großes Stück Landes."
"22","1925-06-20","Gebrauchsliteratur","Die Landfrau, 20.06.1925","Trotz des verheerenden Eingriffs der Entente in unsere Viehbestände sind wir bald soweit, daß wir den Milchbedarf im Lande wieder decken können, das liegt daran, daß wir wenigstens lohnende Preise für die Milch erhalten."
"23","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 724","Danach begann er das Land zu loben: ""Das furchtbare, unbarmherzige Sandgewelle mit dem verlorenen oder verzauberten Wasser ..."", und sprach von der Erschließung, und was für neue Deutsche hier aufwachsen müßten, und sprach immer ein wenig stolz weg und hinaus, als ginge es zu dieser Stunde noch nur ihn und das Land selbst an."
"24","1925-12-29","Zeitung","Tucholsky, Kurt: Das Buch vom Kaiser. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1925]","Aber dahinter, die graue Atelierwand: das ist das Land, das ihn bejaht hat."
"25","1925-12-31","Gebrauchsliteratur","Petersen, Jes: Erde und Mensch, Berlin: Columbus-Verl. [1935] [1925], S. 118","Solche Arbeiten sind die Be- und Entwässerung einer Gegend, der Wegebau und die Urbarmachung des Landes."
"26","1924-03-11","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 11.03.1924","Es sei auch keineswegs sicher, ob England nach der Wiederherstellung der europäischen Märkte seine Stellung behaupten könne; denn man müsse sich auf einen Sturm von Ausfuhrgütern gefaßt machen, sowohl von Deutschland wie von jedem anderen Lande, das seine Schulden bezahlen wolle."
"27","1920-03-07","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 07.03.1920","Indessen ist es nicht möglich, zu Ostern 1920 mit jeglicher reichsgesetzlichen Regelung zurückzuhalten, da eine Reihe von Ländern bereits im Begriff steht, selbständig vorzugehen, was eine Zersplitterung im deutschen Schulwesen nach sich ziehen könnte und unter Umständen die Länder zwingen würde, Maßnahmen, die sie jetzt ergreifen, später unter dem Zwange eines Reichsgesetzes wieder abzuändern."
"28","1918-03-07","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 07.03.1918","Vorerst aber sehen wir das heiße Bemühen aller feindlichen Länder, Japan in den Krieg hineinzuzerren, und es dazu zu reizen, Rußland in den Rücken zu fallen."
"29","1930-03-02","Zeitung","Völkischer Beobachter (Bayernausgabe), 02.03.1930","Es vergeht kein Tag ohne neue Meldungen über Brandunglücksfälle an allen Ecken und Enden des Landes."
"30","1922-12-31","Wissenschaft","Gundert, Wilhelm: Schintoismus. In: Kern, Maximilian (Hg.) Das Licht des Ostens, Stuttgart: Union Deutsche Verlagsges. 1922, S. 524","Das Land wurde von allerlei Unglück, Stürmen und Überschwemmungen heimgesucht: ja schließlich erschien Temman Tenjin dem Kaiser selbst, der von da an nicht mehr gesund wurde."
"31","1922-03-06","Zeitung","Vossische Zeitung (Abend-Ausgabe), 06.03.1922","[...] ""Um die Toten zu ehren, die der Weltkrieg uns in unabsehbarer Zahl entriß, um das Fleckchen Erde zu bewahren und zu schützen, das ihnen die ewige Ruhestätte bietet, um den Hügel zu pflegen, den der Witwe Hand nicht mehr erreicht, weil er im fernen Lande sich erhebt, um auch derer zu gedenken, die an unbekanntem Orte fielen und deren letzte Seufzer niemand vernahm - hat der Volksbund Deutsche Kriegsgräber-Fürsorge alle Glieder des Volkes in gemeinsamem Gedenken gesammelt, haben wir uns heute im Hause der deutschen Volksvertretung Weihestunde zusammengesunden Noch sind die Wunden des Krieges nicht vernarbt. [...]"
"32","1922-08-03","Belletristik","Tucholsky, Kurt: Rote Melodie. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1922], S. 2731","Ich sah durchs Land im Weltenbrand - da weinten tausend Frauen."
"33","1920-12-31","Belletristik","Ury, Else: Nesthäkchen fliegt aus dem Nest, Stuttgart: K. Thienemanns 1997 [1920], S. 81","'Es schüttete wüscht', was bei uns zu Lande heißt: 'Es regnete Bindfäden'."
"34","1931-12-31","Gebrauchsliteratur","Reimann, Hans: Vergnügliches Handbuch der Deutschen Sprache, Düsseldorf: Econ-Verl. 1964 [1931], S. 239","Die „Rheinland"" mit dem richtigen Geschlechtswort (das „Rheinland"") wäre selbst ohne Gänsefüßchen keiner Verwechselung mit dem Land beiderseits des Rheinstromes ausgesetzt; man könnte ruhig vom Rheinland als von einem Dampfer sprechen: der Zusammenhang ergäbe einen richtigen Sinn."
"35","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum, Berlin: Directmedia Publ. 2002 [1920], S. 221","Sie konnten sich schon ohne Gefahr nicht mehr einschiffen, seitdem die Athener so nahe waren, und auf keinen Fall die Ebene zu Lande verlassen, ohne vorher die Athener aus ihrer Stellung vertrieben zu haben."
"36","1918-12-31","Wissenschaft","Weber, Max: Parlament und Regierung im neugeordneten Deutschland. In: Weber, Marianne (Hg.) Gesammelte Politische Schriften, München: Drei Masken Verl. 1921 [1918], S. 167","Das könnte sich dagegen eine Partei niemals gestatten, deren Existenz auf die Teilnahme an der Macht und Verantwortung im Staate zugeschnitten wäre, bei der infolgedessen jeder Parteigenosse im Lande draußen wissen würde: daß Sein und Nichtsein der Partei und aller der Interessen, die ihn an sie knüpfen, daran hängt, daß sie sich den Leuten mit Führereigenschaften, über die sie verfügt, unterordnet."
"37","1920-12-31","Belletristik","Schaeffer, Albrecht: Helianth I, Bonn: Weidle 1995 [1920], S. 289","Armer Georg, Sie rufen nach mir wie ein Schiff in Seenot nach dem Leuchtturm - Alles las ich zwischen den Zeilen - aber bin ich selbst am Lande?"
"38","1923-12-31","Wissenschaft","Lukács, Georg: Geschichte und Klassenbewußtsein, Neuwied u. a.: Leuchterhand 1970 [1923], S. 160","Ihre raum-zeitliche Erscheinungsform wird aber ein getrenntes Nach- und Nebeneinander nicht nur in den verschiedenen Ländern, sondern auch in den verschiedenen Zweigen der Produktion der einzelnen Länder sein."
"39","1932-12-31","Belletristik","Benjamin, Walter: Ein verrückter Tag. In: Tiedemann, Rolf (Hg.), Aufklärung für Kinder, Frankfurt a. M.: Suhrkamp 1985 [1932], S. 204","7. Man braucht drei Farben, nämlich eine für das Land in der Mitte, eine für die beiden Länder, die oben und unten an das Land in der Mitte stoßen, und eine dritte für die beiden, die rechts und links an das Land in der Mitte stoßen."
"40","1925-12-31","Gebrauchsliteratur","Benz, Carl Friedrich: Lebensfahrt eines deutschen Erfinders, Die Erfindung des Automobils, Erinnerungen eines Achtzigjährigen. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1925], S. 4945","Es soll dieses Fuhrwerk nicht gerade den Zweck und die Eigenschaften eines Velozipeds haben, mit dem man eine Spazierfahrt auf ebes ner, gut unterhaltener Lands straße macht, sondern es soll als Fuhrwerk dienen, das einem Bernerwägelchen oder ähnlichen Vehikel gleicht, mit dem man nicht nur jeden halbwegs anständigen Weg befahren kann, sondern auch mit Überwindung größerer Steigungen entsprechende Lasten befördern kann und soll z.B. ein Geschäftsreisender mit seinen Mustern von Ort zu Ort ohne Anstand damit fahren können."
"41","1932-12-31","Wissenschaft","Buber, Martin: Königtum Gottes, Berlin: Schocken 1932, S. 50","Die Herrschaft des Sonnengottes, hier Amon-Re genannt, über das Land, die von seinem Hohepriester zur Begründung einer Hierokratie verwendet wird, ist eine uralte Glaubensvorstellung, die, wie nunmehr die priesterliche, so vordem die königliche Hoheit sanktionierte."
"42","1922-03-08","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 08.03.1922","Eine Kolonisation eines zivilifierten Landes müsse unbedingt zurückgewiesen werden."
"43","1930-12-31","Belletristik","Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. 502","beide hatten sie Macht in den Händen, beide liebten sie ihr Land Bayern, und beide wußten sie, daß diese deutsche Provinz Bayern mit ihren Menschen und ihrem Vieh, mit ihren Dörfern und ihrer Stadt, mit Wald und Feld und allem darin und darauf bestimmt war, sich von Grund auf zu verwandeln, und das in kurzer Frist."
"44","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum, Berlin: Directmedia Publ. 2002 [1920], S. 1008","Sei es, indem er von Übervölkerung sprach, sei es, indem er vorstellte, daß sie in ihrem Lande binnen kurzem, wie die anderen Gallier, den Germanen erliegen müßten."
"45","1921.0","Gebrauchsliteratur","§ 3 Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen) (WaStrÜbgVtr), 1921.","Jedoch verbleiben die von den Ländern bereits erbauten oder im Bau begriffenen Kraftwerke im Eigentum der Länder."
"46","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 374","Jedoch es ist die Mehrheit, und es sind Engländer, und dieses ist ein britisches Land, und sie könnten eine englische Sache daraus machen."
"47","1918-12-31","Gebrauchsliteratur","Schlipf, Johann Adam: Schlipfs populäres Handbuch der Landwirtschaft, Berlin: Parey 1918, S. 73","Die Brache hält den Boden feuchter als bebautes Land, weil die Pflanzen mehr Wasser verdunsten als unbebauter Boden."
"48","1932-12-31","Belletristik","Roth, Joseph: Radetzkymarsch, Köln: Kiepenheuer & Witsch 1978 [1932], S. 399","Kosaken sollten bereits im eigenen Lande eingebrochen sein."
"49","1932-10-20","Zeitung","Archiv der Gegenwart, Bd. 2, 20.10.1932, S. 529 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","[...] bei österreichischen Schuldnern bestehenden oder künftig entstehenden Schillingguthaben von Ausländern sowie die bei inländischen Machthabern von Ausländern oder bei österreichischen Kreditunternehmungen zugunsten von Ausländern eingezahlten, bezw. künftig zur Einzahlung gelangenden Schillingbeträge zur Bezahlung von Exporten österreichischer Waren verwendet werden, wenn folgende Bedingungen erfüllt sind: a) der Nationalbank müssen 12 % des Fakturenwertes der Ausfuhrwaren in einer mit ihr zu vereinbarenden Fremdwährung eingeliefert werden; b) der Nationalbank muß nachgewiesen werden, daß die zu verwendenden Schillingbeträge das Entgelt für Warenimporte oder für andere Leistungen kommerzieller Art sind; c) der Export muß nach einem Land erfolgen, in dem die Person oder Firma, zu deren Gunsten die zu verwendenden Schillinge erliegen, ansässig ist oder ihren Sitz hat. [...]"
"50","1931-03-03","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 03.03.1931","Die Blätter aller Richtungen beschäftigen sich mit dem Ausfall der vorgestern im Lande Braunschweig vorgenommenen Kommunal- und Reichstagswahlen."
"51","1926-03-05","Zeitung","Vossische Zeitung (Abend-Ausgabe), 05.03.1926","Die deutschen Kredite an die Sowjetunion zeigen, wie dringend notwendig die übrigen Länder die wirtschaftliche Zusammenarbeit mit der Sowjetunion brauchen."
"52","1921-12-31","Belletristik","Kolbenheyer, Erwin Guido: Das Gestirn des Paracelsus, München: J.F. Lehmanns 1964 [1921], S. 581","Man holte ihn weit über Land, das Zimmer hinter seiner Offizin war selten leer, von fernher kamen Kranke."
"53","1930-12-31","Belletristik","Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. 749","Wenn der Tote reden sollte, dann war es mit theoretischer Erkenntnis allein nicht getan, dann mußte das Land Bayern lebendig werden."
"54","1928-07-31","Zeitung","Tucholsky, Kurt: Ein Schädling der Kriminalistik. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1928]","Und das in einem Lande, in dem immerhin Leute wie Bonhoeffer sorgfältige und durchdachte Theorien über das Wesen von 'Simulanten' aufgestellt haben."
"55","1920-12-31","Wissenschaft","Weber, Max: Die Wirtschaftsethik der Weltreligionen. In: Weber, Marianne (Hg.) Gesammelte Aufsätze zur Religionssoziologie, Bd. III, Tübingen: Mohr 1921 [1920-1921], S. 244","Der Mythos von einem durch Gott gepflanzten und bewässerten friedlichen Garten und dem aus ihm zur Mühsal des Bodenanbaus und Kampf mit Schlangen hinausgestoßenen Menschen ist auch an sich am wahrscheinlichsten in einem Lande wie Mesopotamien entstanden; wie alt er in Kanaan ist, läßt sich nicht sagen."
"56","1926-03-04","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 04.03.1926","Das Heeresbudget sei auch in den anderen Ländern sehr stark gestiegen."
"57","1926-12-31","Belletristik","Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. 935","Eine leise Enttäuschung bereitete die Erkenntnis, daß, wenn es ihnen wirklich gelänge, in einer Reihe von Jahren zu den großen Schafhaltern des Landes zu gehören, sie selbst dann, wie die andern, auf lange hin mit ein paar hundert Pfund Wolle im Jahre zufrieden sein müßten."
"58","1932-02-28","Zeitung","Archiv der Gegenwart, Bd. 2, 28.02.1932, S. 193 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Durch einen Runderlaß des Reichswirtschaftsministeriums wird darauf aufmerksam gemacht, daß die Anforderung hochwertiger fremder Währungen (Dollar, Hollandgulden, Schweizer Franken usw.) für Importe aus valutaschwachen Ländern im allgemeinen nicht zulässig ist."
"59","1930-12-31","Wissenschaft","Scheidt, Walter: Kulturbiologie, Jena: Fischer 1930, S. 14","Sie stellen sich Ihr Hochschulstudium am besten so vor, als wären Sie in einem unbekannten Land an mehrere Führer geraten, deren jeder Sie einen anderen Weg führen will und deren jeder verspricht, Sie zu der weitesten und für Sie schönsten Aussicht zu führen."
"60","1927-12-31","Gebrauchsliteratur","Wien, Wilhelm: Ein Rückblick. In: Simons, Oliver (Hg.), Deutsche Autobiographien 1690 - 1930, Berlin: Directmedia Publ. 2004 [1927], S. 73162","Außer dem Verkehr in Berlin mit meinen Studiengenossen, lebte ich auch später auf dem Lande einsam, mit jungen Mädchen kam ich überhaupt so gut wie nicht zusammen."
"61","1930-12-31","Belletristik","Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. 153","Den, wie er die ruhigen Worte hörte, die groß, dick, mit dialektischem Anklang aus dem kräftigen, kauenden Mund des obersten Justizbeamten dieses Landes kamen, packte Abscheu, Scham, Ekel dergestalt, daß er die drängenden Sätze hinunterschluckte."
"62","1932-01-15","Zeitung","Archiv der Gegenwart, Bd. 2, 15.01.1932","Das Land zählte Ende 1931 32,5 Mill. Einwohner."
"63","1931-09-28","Zeitung","Archiv der Gegenwart, Bd. 1, 28.09.1931, S. 39 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Ein Land mit langen Grenzen und großem Kolonialbesitz ist verpflichtet, ein Heer, eine Flotte und eine Luftmacht zu besitzen, die in logischem Verhältnis zu seiner besonderen Lage stehen."
"64","1926-03-30","Zeitung","Tucholsky, Kurt: Wo waren Sie im Kriege, Herr -? In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1926]","Sie glaubten ganz ehrlich, einer guten Sache zu dienen; sie glaubten fest daran, daß Deutschland überfallen worden sei, so, wie die Franzosen und die Russen dasselbe von ihren Ländern glaubten - diese jungen Leute meldeten sich freiwillig und gingen in den sinnlosesten Tod."
"65","1918-03-16","Zeitung","Berliner Tageblatt (Morgen-Ausgabe), 16.03.1918","Die englische und amerikanische Regierung hatten nicht den Mut, die unerhörte Behandlung einzugestehen , die sie einem aufrichtig neutralen und friedlichen Lande angedeihen lassen."
"66","1932-12-31","Wissenschaft","Buber, Martin: Königtum Gottes, Berlin: Schocken 1932, S. 103","So haben die Zeiten die personhafte Unbedingtheit des Stammesgottes Jhwh seinem Verhältnis zum Stammvater seines Stammes abgelesen; aber es läßt sich keine noch so primitive Fassung der Genesisgeschichten von den Anfängen dieses Stammes dem Text abgewinnen, in die die Unbedingtheit nicht schon eingetragen wäre, und mit ihr jene Ganzheitsgeltung und Ganzheitswirkung der Ausschließlichkeit in Israel, jenes lebensmäßige Ernstmachenwollen über die Aktualität des Glaubensverhältnisses hinaus; sagt doch schon jenes beginnende und unbestritten frühe »Geh aus deinem Lande!"
"67","1920-12-31","Wissenschaft","Weber, Max: Die Wirtschaftsethik der Weltreligionen. In: Weber, Marianne (Hg.) Gesammelte Aufsätze zur Religionssoziologie, Bd. III, Tübingen: Mohr 1921 [1920-1921], S. 272","[...] Die Beamten, welche dem König für den ökonomischen und populationistischen Zustand des Landes verantwortlich und außerdem der jederzeit und wie es scheint unmittelbar an den König zulässigen Beschwerde der Untertanen ausgesetzt waren, rühmen sich in den Inschriften schon des Alten Reichs: daß sie in Hungersnot geholfen, niemanden seine Felder fortgenommen, nicht die Untergebenen anderer Beamter mißbraucht, niemals einen Streit unredlich geschlichtet, niemandem seine Tochter fortgenommen oder vergewaltigt, kein Eigentum verletzt, die Witwen nicht bedrückt, oder: daß sie den Hungrigen gespeist, den Nackten gekleidet, Leute, die kein Boot hatten, über den Strom gesetzt, die Ställe ihrer Untergebenen mit Vieh gefüllt haben. [...]"
"68","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Vierter Teil: Neuzeit, Berlin: Directmedia Publ. 2002 [1920], S. 3630","Sie möchten seinen Leib, sein Land, seine Leute und sein Gut, schrieb er ihnen, als das ihrige betrachten und als seine rechten Väter ihn und seine Stadt Mailand im Schirm halten, wogegen auch er sich gegen sie erweilen wolle als ein Sohn gegen seinen Vater."
"69","1927-12-31","Wissenschaft","Jahresberichte für deutsche Geschichte, 1927, S. 509","Nach einem einleitenden Aufsatz über die niederlausitzische Geschichtsforschung, die naturgemäß stark von Sachsen aus gefördert ist, und einem Überblick über die staatliche Zugehörigkeit des Landes im Wechsel der Zeiten führt L. von der Frühzeit bis in das 19. Jahrhundert."
"70","1926-12-31","Gebrauchsliteratur","Abel, Othenio: Amerikafahrt, Jena: Fischer 1926, S. 351","Während das Oligozän im Bereiche der Little Bad Lands und der Big Bad Lands in Nebraska und Süddakota eine klare stratigraphische Gliederung gestattet, ist das Miozän des Gebietes zwischen der Pine Ridge und dem Tale des North Platte River so vielgestaltig entwickelt, daß es lange Zeit gedauert hat, bis durch mühevolle Vergleiche der verschiedenen Faunen ein klareres Bild der stratigraphischen Verhältnisse erzielt werden konnte (Fig. 231)."
"71","1925-12-31","Belletristik","Dominik, Hans: John Workmann der Zeitungsboy, Biberach an d. Riss: Koehler 1954 [1925], S. 26","Auch der dunkel getäfelte Empfangssaal mit den mächtigen mit grünem Tuche bespannten Tischen, auf denen Zeitungen und Bücher aus aller Herren Länder zur Ansicht lagen, imponierte ihm nicht."
"72","1931-03-03","Zeitung","Völkischer Beobachter (Reichsausgabe), 03.03.1931","In diesem Artikel muß sich Deutschland zwar verpflichten, ein für alle Mal auf die Entsendung irgend einer Militärmission oder irgend welcher militärischer Lehrer nach fremden Ländern zu verzichten, und die alliierten Mächte vereinbaren, überhaupt keine Deutschen als Lehrer im Heerwesen anzustellen."
"73","1932-07-21","Zeitung","Münchner Neueste Nachrichten, 21.07.1932","Erst zwingt sie die Länder mit seiner Hilfe zur Gewährung einer politischen Straßenfreiheit, die notwendig zu Unruhen führen muß, verhindert also die Länder an den zur Aufrechterhaltung der Ruhe und Ordnung von ihnen für notwendig gehaltenen Maßnahmen."
"74","1922-04-10","Zeitung","Tucholsky, Kurt: Kadett Ludendorff. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1922]","Wir setzen hinzu: und von einem Opfer preußischer Kadettenerziehung, von einem, der mit seiner 'Büffelstrategie', wie Foch spöttisch dieses Aasen mit Menschenfleisch nannte, sein Land zugrunde gerichtet hat, von einem, der das Schimpflichste getan hat, was man nur tun kann: die eigenen Fehler seinem Volk aufzubürden, das das letzte, das allerwertvollste hergegeben hat: seine besten Jungen."
"75","1920-12-31","Wissenschaft","Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum, Berlin: Directmedia Publ. 2002 [1920], S. 513","Sein Genius erkennt mit untrüglichem Scharfblick alle die neuen Bedürfnisse und Möglichkeiten, die die neuen Verhältnisse, die Zusammensetzung und die Größe der Heere, wie die Ausdehnung und Natur der eroberten Länder fordern und bieten."
"76","1931-03-03","Zeitung","Tucholsky, Kurt: Auf dem Nachttisch. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1931]","Wohnt ihr auf dem Lande, dann schreibt an die nächste große Buchhandlung - und wohnt ihr in der Stadt, dann dürft ihr euch doch wirklich nicht davon abschrecken lassen, daß der Sortimenter das Buch nicht vorrätig hat."
